Date,Close,High,Low,Open,Volume
2024-06-07,74168.796875,75416.13757276844,73976.89830611255,75224.23900388098,21189349
2024-06-10,72633.609375,73497.15294749009,72537.66008916777,73017.40651832893,14598755
2024-06-11,72153.8515625,72921.4457280585,72057.90229180518,72825.4964573637,16971175
2024-06-12,73401.1875,73976.88308823529,72153.84705882354,72249.79632352942,19246725
2024-06-13,75416.140625,75799.9377783079,74648.54631838422,75224.24204834606,33763804
2024-06-14,76375.625,77239.16849874372,75799.92933417085,76471.5742776382,22926612
2024-06-17,74936.375,76279.66469270167,74840.4257362356,75991.81690140846,16123051
2024-06-18,76567.515625,76951.312695802,75416.12441259398,75512.07368029449,18207598
2024-06-19,77910.8125,79158.15309421183,77239.16756465517,77814.86322352217,24168863
2024-06-20,78294.609375,78870.30503216911,77910.81227022059,78198.66009880515,20288913
2024-06-21,76759.4140625,77527.00820312499,76759.4140625,77431.05893554687,17907523
2024-06-24,77335.109375,77622.95717664392,76279.66743563896,76471.56597006824,15454227
2024-06-25,77527.0078125,78486.50048344678,76855.36294283725,77335.10927831064,19088458
2024-06-26,78006.7578125,78102.70708410209,76663.46801007073,76855.36655327491,17783242
2024-06-27,78643.8203125,78643.8203125,77583.67077397364,78354.68862017462,11739720
2024-06-28,78547.4375,78932.94639570553,77872.79693251534,78932.94639570553,9455929
2024-07-01,78836.5546875,79125.68630615831,78354.6686564028,78547.42306884169,11317202
2024-07-02,78836.5546875,79607.5723372555,78547.42306884169,79511.19513103606,14471904
2024-07-03,78836.5546875,79318.44071859718,78065.53703774449,79318.44071859718,11440328
2024-07-04,81535.125,81631.50221631206,79414.82624113475,79896.71232269504,43857229
2024-07-05,83944.5703125,83944.5703125,82113.40287743973,82498.91181113663,45791193
2024-07-08,84233.6875,85390.21410183066,83751.80141590389,84715.57358409611,24035809
2024-07-09,84619.203125,85004.71202306378,83751.80810435649,84619.203125,21336201
2024-07-10,84619.203125,84811.95757403188,83944.56255338837,84426.4486759681,17813847
2024-07-11,84426.4453125,85582.97196061644,83559.05032641267,85293.84029858734,24677608
2024-07-12,81342.3828125,82980.79573644846,81053.2511200385,82788.04127480746,26344386
2024-07-15,83559.0390625,84137.30230860726,81053.23166270184,81631.49490880911,25193080
2024-07-16,84522.8203125,84811.95196693273,83559.04813105759,83751.80256734607,16166688
2024-07-17,83559.0390625,84811.94276239908,83269.90743944637,83944.54789323818,18186490
2024-07-18,83751.8046875,83751.8046875,80764.11084939586,80764.11084939586,24721790
2024-07-19,81342.3828125,82980.79573644846,81053.2511200385,82498.90958234596,18569122
2024-07-22,79993.1015625,81824.26894766567,79607.59263930723,81342.3827936747,18987560
2024-07-23,80860.484375,81631.50210443982,80378.59829410013,81149.61602353993,15766389
2024-07-24,79029.3203125,80282.22417111282,78932.94309260671,79896.71529153964,16939083
2024-07-25,77487.2890625,78065.55241371268,77198.15738689365,77487.2890625,20323811
2024-07-26,77969.171875,78354.68075942522,77487.28576946848,77776.41743278739,14508334
2024-07-29,78258.3046875,79029.3224676724,78161.92746497845,78643.8135775862,12797136
2024-07-30,78065.5390625,78065.5390625,77101.76697530864,77487.27581018518,13169636
2024-07-31,80860.484375,80860.484375,77969.16788960072,78258.29953814065,20744323
2024-08-01,80089.4765625,82980.79340591155,80089.4765625,82884.41617779784,20900338
2024-08-02,76716.2734375,78451.06354035804,76619.89620956343,78065.5546286118,25800275
2024-08-05,68813.34375,74114.09151785714,67656.81696428571,73921.33705357142,54608790
2024-08-06,69873.4921875,72572.05464439654,69680.7377262931,72186.54572198275,47295226
2024-08-07,71993.7890625,73246.69302208835,70162.6217369478,70355.37619226908,32710428
2024-08-08,70740.8828125,71222.76893520095,69873.48779163828,70548.12836341962,28414729
2024-08-09,71993.7890625,73053.93856676707,71511.9029241968,72957.56133910643,16388222
2024-08-12,72764.8046875,73150.31358650663,72090.16411423842,72475.67301324503,9839259
2024-08-13,73343.0703125,73824.9564512155,72764.8069460414,73728.5792234724,10716261
2024-08-14,74403.2265625,74981.48998137953,74210.47208954016,74595.98103545984,13246168
2024-08-16,77294.53125,77294.53125,75848.87293485038,76523.5134819202,22061478
2024-08-19,75463.3671875,77198.15723778735,75174.23551245211,77198.15723778735,14146565
2024-08-20,76041.6328125,76909.02786359316,75848.87835670152,76619.89617989544,10683836
2024-08-21,75463.3671875,75752.49886254789,74981.48106242018,75077.85828743615,7805598
2024-08-22,75463.3671875,76041.63053759579,74981.48106242018,75848.87608756385,8149101
2024-08-23,74885.09375,75559.73423423423,74692.33932593308,74885.09375,9420306
2024-08-26,73343.0703125,75366.99209510512,73246.6930847569,75270.61486736202,15655938
2024-08-27,73053.9296875,73728.57019912598,72861.17525560685,72957.55247155343,11130145
